Timestamp,Name,Value
8.360233,"NT:/limelight-front/tshort",7.488452911376953
8.360233,"NT:/limelight-front/thor",13
8.360233,"NT:/limelight-front/tvert",10
8.360252,"NT:/limelight-front/tc",0.12156862765550613;0.1882352977991104;0.16470588743686676
8.36027,"NT:/limelight-front/hb",1561
8.360289,"NT:/limelight-front/botpose",0;0;0;0;0;0;67.21277618408203
8.360307,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;67.21277618408203
8.360307,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;67.21277618408203
8.360326,"NT:/limelight-front/json","{""Results"":{""Bardcode"":[],""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":2.0865911210421473e-05,""tx"":1.4334229127537412,""txp"":665.9027099609375,""ty"":12.0679530849376,""typ"":256.6162414550781},{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":2.4138995286193676e-05,""tx"":1.0551453425814685,""txp"":659.0,""ty"":12.594333147133923,""typ"":246.50001525878906},{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":5.196021083975211e-05,""tx"":1.6942613402760003,""txp"":670.3953857421875,""ty"":5.969985491118891,""typ"":370.883056640625}],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""cl"":37.619998931884766,""pID"":0.0,""t6c_rs"":[0.0,0.0,0.0,0.0,0.0,-0.0],""tl"":29.592777252197266,""ts"":58009.292926999995,""v"":1}}"
8.390822,"NT:/limelight-front/tl",29.8460750579834
8.390841,"NT:/limelight-front/tx",1.4088108539581299
8.390859,"NT:/limelight-front/ty",12.308244705200195
8.390859,"NT:/limelight-front/ta",0.011660361662507057
8.390859,"NT:/limelight-front/ts",4.085616588592529
8.390878,"NT:/limelight-front/tlong",14.035667419433594
8.390878,"NT:/limelight-front/tshort",13.038209915161133
8.390896,"NT:/limelight-front/thor",15
8.390896,"NT:/limelight-front/tvert",15
8.390915,"NT:/limelight-front/tc",0.1568627506494522;0.18431372940540314;0.1568627506494522
8.390933,"NT:/limelight-front/hb",1562
8.390933,"NT:/limelight-front/botpose",0;0;0;0;0;0;67.46607208251953
8.390952,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;67.46607208251953
8.390971,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;67.46607208251953
8.390989,"NT:/limelight-front/json","{""Results"":{""Bardcode"":[],""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":2.5775536414585076e-05,""tx"":1.4055580013384201,""txp"":665.4024047851563,""ty"":12.262496204171057,""typ"":252.87803649902344},{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":5.4005886340746656e-05,""tx"":1.7273547089205294,""txp"":671.0,""ty"":5.990779156696249,""typ"":370.5}],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""cl"":37.619998931884766,""pID"":0.0,""t6c_rs"":[0.0,0.0,0.0,0.0,0.0,-0.0],""tl"":29.8460750579834,""ts"":58039.718334,""v"":1}}"
8.421912,"NT:/limelight-front/tl",30.572795867919922
8.422042,"NT:/limelight-front/tx",1.2092000246047974
8.42206,"NT:/limelight-front/ty",12.306018829345703
8.42206,"NT:/limelight-front/ta",0.010923918336629868
8.422079,"NT:/limelight-front/ts",56.97612762451172
8.422079,"NT:/limelight-front/tlong",23.853723526000977
8.422079,"NT:/limelight-front/tshort",11.193222999572754
8.422097,"NT:/limelight-front/tvert",21
8.422116,"NT:/limelight-front/tc",0.1411764770746231;0.1764705926179886;0.12941177189350128
8.422135,"NT:/limelight-front/hb",1563
8.422153,"NT:/limelight-front/botpose",0;0;0;0;0;0;68.19279479980469
8.422172,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;68.19279479980469
8.42219,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;68.19279479980469
8.422209,"NT:/limelight-front/json","{""Results"":{""Bardcode"":[],""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":2.863948611775413e-05,""tx"":1.4376616444389896,""txp"":666.0,""ty"":12.43783555960404,""typ"":249.5},{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":5.318761395756155e-05,""tx"":1.7547067591702614,""txp"":671.5001220703125,""ty"":6.017943819173297,""typ"":370.0000305175781}],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""cl"":37.619998931884766,""pID"":0.0,""t6c_rs"":[0.0,0.0,0.0,0.0,0.0,-0.0],""tl"":30.572795867919922,""ts"":58071.172056999996,""v"":1}}"
8.451777,"NT:/limelight-front/tl",29.003925323486328
8.451815,"NT:/limelight-front/tx",1.124107003211975
8.451833,"NT:/limelight-front/ty",6.6204962730407715
8.451852,"NT:/limelight-front/ta",0.001800196128897369
8.45187,"NT:/limelight-front/ts",15.945394515991211
8.45187,"NT:/limelight-front/tlong",7.28010892868042
8.451889,"NT:/limelight-front/tshort",4.120816707611084
8.451889,"NT:/limelight-front/thor",5
8.451907,"NT:/limelight-front/tvert",9
8.451944,"NT:/limelight-front/tc",0.10980392247438431;0.1725490242242813;0.18039216101169586
8.451963,"NT:/limelight-front/hb",1564
8.451982,"NT:/limelight-front/botpose",0;0;0;0;0;0;66.6239242553711
8.452019,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;66.6239242553711
8.452056,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;66.6239242553711
